player_id,code,slug_used,competition_path,profile_url,first_name,last_name,height_cm,position,nationality,born,club_code,club_name,fetch_status
P014157,014157,boogie-ellis,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/boogie-ellis/profile/014157/,BOOGIE,ELLIS,188,Guard,United States of America,2000-12-12T00:00:00,DUB,Dubai Basketball,ok
P009580,009580,octavius-ellis,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/octavius-ellis/profile/009580/,OCTAVIUS,ELLIS,208,Center,United States of America,1993-03-10T00:00:00,OLY,Olympiacos Piraeus,ok
P012593,012593,quinn-ellis,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/quinn-ellis/profile/012593/,QUINN,ELLIS,195,Guard,United Kingdom,2003-04-01T00:00:00,MIL,EA7 Emporio Armani Milan,ok
P000416,000416,carl-english,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/carl-english/profile/000416/,CARL,ENGLISH,192,Forward,Canada,1981-02-02T00:00:00,BAS,Caja Laboral,ok
P005158,005158,kim-english,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/kim-english/profile/005158/,KIM,ENGLISH,198,Guard,United States of America,1988-09-24T00:00:00,SIE,Montepaschi Siena,ok
P008066,008066,dylan-ennis,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/dylan-ennis/profile/008066/,DYLAN,ENNIS,188,Guard,Serbia,1991-12-26T00:00:00,RED,Crvena Zvezda mts Belgrade,ok
P008858,008858,tyler-ennis,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/tyler-ennis/profile/008858/,TYLER,ENNIS,188,Guard,Canada,1994-08-24T00:00:00,HTA,Hapoel IBI Tel Aviv,ok
P011239,011239,steven-enoch,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/steven-enoch/profile/011239/,STEVEN,ENOCH,208,Center,United States of America,1997-09-18T00:00:00,BAS,Cazoo Baskonia Vitoria-Gasteiz,ok
PJSR,JSR,chris-ensminger,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/chris-ensminger/profile/JSR/,CHRIS,ENSMINGER,0,Center,United States of America,1973-12-08T00:00:00,BAM,Brose Baskets,ok
PDHF,DHF,zoran-erceg,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/zoran-erceg/profile/DHF/,ZORAN,ERCEG,211,Center,Serbia,1985-01-11T00:00:00,GAL,Galatasaray Liv Hospital Istanbul,ok
PJYB,JYB,semih-erden,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/semih-erden/profile/JYB/,SEMIH,ERDEN,210,Center,Turkiye,1986-07-28T00:00:00,DAR,Darussafaka Dogus Istanbul,ok
PBDQ,BDQ,serkan-erdogan,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/serkan-erdogan/profile/BDQ/,SERKAN,ERDOGAN,190,Guard,Turkiye,1978-08-30T00:00:00,IST,Efes Pilsen,ok
P007360,007360,michael-eric,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/michael-eric/profile/007360/,MICHAEL,ERIC,210,Center,Nigeria,1988-06-24T00:00:00,CSK,CSKA Moscow,ok
P003151,003151,marcus-eriksson,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/marcus-eriksson/profile/003151/,MARCUS,ERIKSSON,201,Guard,Sweden,1993-12-05T00:00:00,BER,ALBA Berlin,ok
PJIR,JIR,baris-ermis,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/baris-ermis/profile/JIR/,BARIS,ERMIS,194,Guard,Turkiye,1985-01-03T00:00:00,ULK,Fenerbahce Ulker Istanbul,ok
P000932,000932,erbil-eroglu,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/erbil-eroglu/profile/000932/,ERBIL,EROGLU,195,Guard,Turkiye,1993-01-21T00:00:00,ULK,Fenerbahce Ulker,ok
PAIQ,AIQ,ariel-eslava,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/ariel-eslava/profile/AIQ/,ARIEL,ESLAVA,201,Forward,Argentina,1979-04-11T00:00:00,BAS,Tau Ceramica,ok
P005937,005937,valentin-estienne,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/valentin-estienne/profile/005937/,VALENTIN,ESTIENNE,180,Guard,France,1994-02-15T00:00:00,LMG,Limoges CSP,ok
P008946,008946,christopher-evans,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/christopher-evans/profile/008946/,CHRISTOPHER,EVANS,203,Forward,United States of America,1991-01-29T00:00:00,CAN,Herbalife Gran Canaria,ok
P007432,007432,jeremy-evans,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/jeremy-evans/profile/007432/,JEREMY,EVANS,207,Forward,United States of America,1987-10-24T00:00:00,PAN,Panathinaikos OPAP Athens,ok
P011218,011218,keenan-evans,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/keenan-evans/profile/011218/,KEENAN,EVANS,191,Guard,United States of America,1996-08-23T00:00:00,OLY,Olympiacos Piraeus,ok
P010677,010677,shannon-evans,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/shannon-evans/profile/010677/,SHANNON,EVANS,185,Guard,Guinea,1994-07-19T00:00:00,PAM,Valencia Basket,ok
