player_id,position,position_wiki,position_365scores,position_reconciled
P012103,Guard,Shooting Guard,Point Guard,Point Guard
P012126,Guard,Shooting Guard,Small Forward,Small Forward
P012168,Center,Power Forward,Center,Center
P012181,Guard,Shooting Guard,Power Forward,Power Forward
P012203,Center,Power Forward,Center,Center
P012610,Forward,Small Forward,Shooting Guard,Shooting Guard
P012640,Guard,Shooting Guard,Point Guard,Point Guard
P012714,Center,Center,Power Forward,Power Forward
P012715,Forward,Power Forward,Small Forward,Small Forward
P012720,Forward,Small Forward,Shooting Guard,Shooting Guard
P012721,Forward,Power Forward,Small Forward,Small Forward
P012724,Forward,Small Forward,Power Forward,Power Forward
P012732,Guard,Shooting Guard,Point Guard,Point Guard
P012742,Guard,Small Forward,Shooting Guard,Shooting Guard
P012743,Center,Center,Power Forward,Power Forward
P012744,Guard,Small Forward,Shooting Guard,Shooting Guard
P012765,Guard,Point Guard,Shooting Guard,Shooting Guard
P012796,Center,Center,Power Forward,Power Forward
P012801,Guard,Shooting Guard,Point Guard,Point Guard
P012878,Center,Center,Power Forward,Power Forward
P012885,Center,Center,Small Forward,Small Forward
P012997,Forward,Power Forward,Small Forward,Small Forward
P013269,Forward,Shooting Guard,Point Guard,Point Guard
P013284,Forward,Small Forward,Power Forward,Power Forward
P013290,Guard,Shooting Guard,Small Forward,Small Forward
P013367,Guard,Point Guard,Shooting Guard,Shooting Guard
P013368,Center,Power Forward,Center,Center
P013370,Guard,Shooting Guard,Point Guard,Point Guard
P013371,Forward,Point Guard,Small Forward,Small Forward
P013373,Forward,Power Forward,Small Forward,Small Forward
P013382,Forward,Small Forward,Shooting Guard,Shooting Guard
P013384,Guard,Shooting Guard,Point Guard,Point Guard
P013405,Forward,Small Forward,Shooting Guard,Shooting Guard
P013696,Center,Power Forward,Center,Center
P013775,Guard,Shooting Guard,Point Guard,Point Guard
P014010,Center,Center,Power Forward,Power Forward
P014014,Center,Center,Power Forward,Power Forward
P014088,Center,Power Forward,Small Forward,Small Forward
P014108,Center,Center,Small Forward,Small Forward
P014115,Guard,Shooting Guard,Small Forward,Small Forward
P014128,Forward,Small Forward,Shooting Guard,Shooting Guard
P014152,Guard,Point Guard,Shooting Guard,Shooting Guard
P014416,Forward,Small Forward,Center,Center
PABN,Guard,Point Guard,Shooting Guard,Shooting Guard
PADF,Center,Power Forward,Center,Center
PADS,Guard,Point Guard,Power Forward,Power Forward
PAFP,Guard,Point Guard,Power Forward,Power Forward
PAFQ,Forward,Center,Power Forward,Power Forward
PAIH,Center,Center,Shooting Guard,Shooting Guard
PANB,Guard,Shooting Guard,Power Forward,Power Forward
PAPB,Center,Power Forward,Shooting Guard,Shooting Guard
PARO,Guard,Shooting Guard,Small Forward,Small Forward
PATF,Forward,Power Forward,Point Guard,Point Guard
PAUC,Forward,Power Forward,Center,Center
PAUL,Center,Center,Power Forward,Power Forward
PAXC,Center,Center,Power Forward,Power Forward
PAZK,Forward,Power Forward,Point Guard,Point Guard
PBAE,Center,Power Forward,Small Forward,Small Forward
PBCC,Forward,Power Forward,Center,Center
PBCN,Guard,Shooting Guard,Small Forward,Small Forward
PBFY,Guard,Point Guard,Small Forward,Small Forward
PBIX,Forward,Shooting Guard,Small Forward,Small Forward
PBLH,Center,Power Forward,Small Forward,Small Forward
PBTR,Center,Center,Point Guard,Point Guard
PBUW,Guard,Shooting Guard,Point Guard,Point Guard
PBXE,Center,Power Forward,Center,Center
PCMF,Guard,Point Guard,Shooting Guard,Shooting Guard
PCOB,Center,Power Forward,Shooting Guard,Shooting Guard
PCPR,Guard,Shooting Guard,Small Forward,Small Forward
PCSW,Guard,Point Guard,Center,Center
PJDQ,Center,Center,Small Forward,Small Forward
PJFX,Guard,Shooting Guard,Small Forward,Small Forward
PJJN,Guard,Point Guard,Center,Center
PJLX,Forward,Small Forward,Power Forward,Power Forward
PJMF,Guard,Shooting Guard,Small Forward,Small Forward
PJNL,Center,Power Forward,Center,Center
PJPJ,Guard,Shooting Guard,Point Guard,Point Guard
PJQH,Center,Center,Point Guard,Point Guard
PJRF,Forward,Power Forward,Small Forward,Small Forward
PJSS,Guard,Point Guard,Small Forward,Small Forward
PJZH,Center,Small Forward,Power Forward,Power Forward
PKAX,Guard,Point Guard,Shooting Guard,Shooting Guard
PKBJ,Guard,Point Guard,Small Forward,Small Forward
PKKI,Forward,Power Forward,Small Forward,Small Forward
PKNI,Center,Power Forward,Point Guard,Point Guard
PKOE,Forward,Small Forward,Point Guard,Point Guard
PKPD,Guard,Shooting Guard,Small Forward,Small Forward
PLCC,Forward,Shooting Guard,Point Guard,Point Guard
PLEE,Guard,Shooting Guard,Point Guard,Point Guard
PLHF,Center,Center,Small Forward,Small Forward
PLJP,Center,Power Forward,Center,Center
PLME,Guard,Point Guard,Shooting Guard,Shooting Guard
PLTT,Guard,Shooting Guard,Point Guard,Point Guard
PLUK,Guard,Shooting Guard,Power Forward,Power Forward
PLUO,Guard,Small Forward,Point Guard,Point Guard
PLVC,Guard,Shooting Guard,Point Guard,Point Guard
PLVW,Guard,Point Guard,Shooting Guard,Shooting Guard
PLXL,Forward,Small Forward,Power Forward,Power Forward
PTEN,Forward,Center,Power Forward,Power Forward
PTER,Guard,Point Guard,Shooting Guard,Shooting Guard
PTEY,Center,Power Forward,Center,Center
PTEZ,Guard,Shooting Guard,Power Forward,Power Forward
PTGB,Guard,Shooting Guard,Point Guard,Point Guard
PTGI,Forward,Shooting Guard,Point Guard,Point Guard
PTGU,Guard,Point Guard,Power Forward,Power Forward
PTHY,Forward,Small Forward,Power Forward,Power Forward
