season_code,player_id,team_id,two_points_attempted,three_points_attempted,two_point_event_count,three_point_event_count,field_goal_attempts_season,field_goal_attempts_event,field_goal_attempts_diff
E2010,P001438,PAM,23,1,23.0,1.0,24,24.0,0.0
E2012,P001438,KHI,75,3,75.0,3.0,78,78.0,0.0
E2015,P001438,KHI,160,8,160.0,8.0,168,168.0,0.0
E2016,P001438,CSK,131,3,131.0,3.0,134,134.0,0.0
E2017,P001438,MAL,183,7,183.0,7.0,190,190.0,0.0
E2021,P010798,PAN,2,1,2.0,1.0,3,3.0,0.0
E2022,P010798,PAN,0,0,0.0,0.0,0,0.0,0.0
E2010,PAUQ,CHO,39,32,39.0,32.0,71,71.0,0.0
E2012,PAUQ,BER,24,23,24.0,23.0,47,47.0,0.0
E2018,P007675,TEL,17,10,17.0,10.0,27,27.0,0.0
E2019,P007675,TEL,47,47,47.0,47.0,94,94.0,0.0
E2022,P003983,PAR,73,57,73.0,57.0,130,130.0,0.0
E2023,P003983,PAR,101,88,101.0,88.0,189,189.0,0.0
E2025,P003983,DUB,67,92,67.0,92.0,159,159.0,0.0
E2025,P006904,PRS,15,22,15.0,22.0,37,37.0,0.0
E2016,P007764,GAL,0,0,0.0,0.0,0,0.0,0.0
E2014,P005927,MAD,167,0,167.0,0.0,167,167.0,0.0
E2015,P005927,MAD,209,0,209.0,0.0,209,209.0,0.0
E2016,P005927,MAD,229,0,229.0,0.0,229,229.0,0.0
E2017,P005927,MAD,123,0,123.0,0.0,123,123.0,0.0
E2018,P005927,MAD,169,0,169.0,0.0,169,169.0,0.0
E2019,P005927,DYR,244,1,244.0,1.0,245,245.0,0.0
E2016,P007148,CSK,10,0,10.0,0.0,10,10.0,0.0
E2007,PKXF,CIB,62,81,62.0,81.0,143,143.0,0.0
E2012,P001761,CED,11,10,11.0,10.0,21,21.0,0.0
E2014,P001761,CED,23,40,23.0,40.0,63,63.0,0.0
E2015,P001761,CED,90,74,90.0,74.0,164,164.0,0.0
E2011,P003475,ZAG,7,8,7.0,8.0,15,15.0,0.0
E2009,PBUV,LIE,19,42,19.0,42.0,61,61.0,0.0
E2010,PBUV,LIE,16,17,16.0,17.0,33,33.0,0.0
E2012,PBUV,LIE,25,28,25.0,28.0,53,53.0,0.0
E2013,PBUV,LIE,11,23,11.0,23.0,34,34.0,0.0
E2014,P004943,NOV,35,66,35.0,66.0,101,101.0,0.0
E2021,P011286,MCO,230,105,230.0,105.0,335,335.0,0.0
E2022,P011286,PAN,234,155,234.0,155.0,389,389.0,0.0
E2025,P011286,DUB,271,118,271.0,118.0,389,389.0,0.0
E2025,P014015,ULK,39,16,39.0,16.0,55,55.0,0.0
E2011,P000064,NAN,18,0,18.0,0.0,18,18.0,0.0
E2007,PTEY,ROA,105,4,105.0,4.0,109,109.0,0.0
E2008,PTEY,LEM,31,1,31.0,1.0,32,32.0,0.0
E2020,P007527,BAR,0,0,0.0,0.0,0,0.0,0.0
E2025,P007527,PAM,155,211,155.0,211.0,366,366.0,0.0
E2020,P009947,BAR,1,0,1.0,0.0,1,1.0,0.0
E2018,P005788,CAN,70,47,70.0,47.0,117,117.0,0.0
E2009,PAFG,CIB,21,0,21.0,0.0,21,21.0,0.0
E2007,PTFP,ROM,10,3,10.0,3.0,13,13.0,0.0
E2009,PBEM,OLD,14,9,14.0,9.0,23,23.0,0.0
E2007,PTGK,LJU,50,43,50.0,43.0,93,93.0,0.0
E2025,P013028,VIR,5,1,5.0,1.0,6,6.0,0.0
E2007,PTFL,LIE,98,57,98.0,57.0,155,155.0,0.0
E2010,PTFL,LIE,100,43,100.0,43.0,143,143.0,0.0
E2024,P013774,BER,13,21,13.0,21.0,34,34.0,0.0
E2019,P009767,CSK,27,35,27.0,35.0,62,62.0,0.0
E2019,P004655,ASV,63,0,63.0,0.0,63,63.0,0.0
E2020,P004655,ASV,90,0,90.0,0.0,90,90.0,0.0
E2022,P004655,VIR,106,0,106.0,0.0,106,106.0,0.0
E2025,P004655,PRS,13,0,13.0,0.0,13,13.0,0.0
E2015,P004803,TIV,0,1,0.0,1.0,1,1.0,0.0
E2019,P007581,DYR,3,0,3.0,0.0,3,3.0,0.0
E2011,P003521,IST,4,0,4.0,0.0,4,4.0,0.0
E2012,P003521,IST,9,3,9.0,3.0,12,12.0,0.0
E2013,P003521,IST,49,8,49.0,8.0,57,57.0,0.0
E2014,P003521,IST,29,9,29.0,9.0,38,38.0,0.0
E2015,P003521,IST,11,4,11.0,4.0,15,15.0,0.0
